20231218	18:24:58	cc1bbf7c-2c0f-447a-b7cd-e18620a15ae5	POST	undefined	/auth
20231218	18:25:12	7cb69de9-4f3f-4788-9970-faaec65be993	POST	undefined	/employees
20231218	18:25:19	b220c080-d043-4058-b682-b74c0b3340de	POST	undefined	/auth
20231218	18:25:30	f9e98a4e-6946-43a2-8401-d3524fb63001	POST	undefined	/employees
20231218	18:25:42	b5e6e53d-8fac-4fbd-ba1f-c858ba3109e5	GET	undefined	/employees
20231218	18:25:47	6927f8ff-29a1-4b86-a45d-d0bd02c8a77d	POST	undefined	/auth
20231218	18:26:01	6f8f3bb5-fb47-41f7-b792-2a362106cb67	GET	undefined	/employees
20231218	18:26:07	c8b776e1-d761-46f7-85d2-2067e5f52197	POST	undefined	/employees
20231218	18:26:46	7bd49117-b203-4d5b-89be-2f2114337c11	POST	undefined	/auth
20231218	18:27:05	8d13e4c3-cafe-4ab3-aa4d-e1b38c3a6065	POST	undefined	/employees
20231218	18:28:46	e16e3574-f4ae-4e4c-a8cc-550cf8abb5b1	GET	undefined	/refresh
20231218	18:28:51	fae7230f-2e4d-4422-99c5-961b67ef0130	POST	undefined	/auth
20231218	18:29:05	92cc56df-6ba8-4b67-a998-b75dfd16f6bd	GET	undefined	/employees
20231218	18:29:13	f52e658d-6c97-49d7-81d3-ba71274808a5	POST	undefined	/employees
20231218	18:32:26	5eaed761-1d19-4013-8070-ee4fd131a3b8	POST	undefined	/auth
20231218	18:32:36	7845211c-7734-4696-ae9e-90338ccc294e	POST	undefined	/employees
20231218	18:32:57	b3e9da0e-9fed-4fcc-8e90-2606ffde1a09	POST	undefined	/auth
20231218	18:33:05	0202916d-663a-4bf5-a172-01232e0813e4	POST	undefined	/employees
20231219	14:03:08	632d51bd-e8c9-4157-a5d4-be340ba4c6bf	POST	undefined	/register
20231219	14:08:25	7669a3cb-75db-4b9f-8ed1-8edcc4ddeb3a	POST	undefined	/register
20231219	14:10:03	81102080-367a-4b03-90f9-a628f70f1130	POST	undefined	/register
20231219	14:29:35	7fb4f264-ce8f-4ca2-8a52-1730bdada4d1	POST	undefined	/register
20231219	14:31:06	864dbaf7-3fa0-4ede-b330-066f4fa945b7	POST	undefined	/register
20231219	14:32:25	94590075-5f3c-49fa-812f-b2f2f156775b	POST	undefined	/register
20231219	14:32:34	e44a7fd0-9f4f-46b1-b763-3051150b94e5	POST	undefined	/register
20231219	15:19:44	4326428f-db3e-4868-9775-6045e62eabfc	POST	undefined	/register
20231219	15:20:31	3d18a90e-7b15-4e0a-92b0-54f6386c41ac	POST	undefined	/register
20231219	15:21:32	47bc53e9-5831-4f0c-a9f4-9b8ca6f88e61	POST	undefined	/auth
20231219	15:22:34	192e1941-4849-4a24-a4ec-0603ab6235ff	GET	undefined	/refresh
20231219	15:23:39	97a35122-98f4-43ce-81f4-8b0fd20fa2c5	GET	undefined	/refresh
20231219	15:24:33	572c38c0-9e88-4a06-9abe-8833216213f8	POST	undefined	/auth
20231219	15:24:45	1fe1332b-e0de-4336-860c-a1f3c26304a9	GET	undefined	/refresh
20231219	15:24:51	ee1b8a89-6a11-431b-8490-c193e4b6815b	GET	undefined	/logout
20231219	15:25:31	df3da894-2d00-408c-bd6f-511605ae09c3	GET	undefined	/logout
20231219	15:26:09	ce52aed6-7a88-4328-9487-2a21ddea94b0	POST	undefined	/auth
20231219	15:26:15	e6bbc860-cf58-4579-813b-2469acf3cfc6	GET	undefined	/refresh
20231219	15:26:21	a34362f8-20ae-4ebb-ba78-de48ccfcead5	GET	undefined	/logout
20231219	15:26:32	84c20c93-804c-4feb-856f-d353fa0ea3ec	GET	undefined	/employees
20231219	15:26:35	4a00d432-b351-4cac-98f6-00cb32955dc7	POST	undefined	/auth
20231219	15:26:37	d638f280-d3ad-418b-871d-d69ef42806fd	GET	undefined	/employees
20231219	15:26:53	53275954-f6a3-49f6-8159-a95cb3f6fd10	GET	undefined	/employees
20231219	15:27:04	fe3cac35-b140-437f-acaf-95daad5ee8bd	GET	undefined	/employees
20231219	16:10:38	5007f322-9c0e-4170-ac5d-18ea178fc7a2	POST	undefined	/auth
20231219	16:10:48	bf375dab-995e-4453-bf93-280d4845349f	POST	undefined	/employees
20231219	16:11:18	deaa80c1-2d1a-4291-96eb-2f6abfcaa313	PUT	undefined	/employees
20231219	16:11:58	4203353c-b8f6-42d0-87b1-9e9ef26b5138	PUT	undefined	/employees
20231219	16:13:42	271c0a0e-c890-42ae-8ac1-f7e5bf92a116	PUT	undefined	/employees
20231219	16:14:23	6fb4db85-349c-49cc-b551-4ac4b1bf40a6	PUT	undefined	/employees
20231219	16:15:30	433e89c9-93b1-42a8-b608-78afabf75749	DELETE	undefined	/employees
20231219	16:15:41	64d12dc4-7cf6-44a3-8a2d-cd7c02ecdfcf	DELETE	undefined	/employees
20231219	16:16:23	1f1cff02-8496-4462-9da2-450c7c9a32f1	GET	undefined	/refresh
20231219	16:16:32	e371c03c-6be1-40f9-a1c2-323d20160ddc	POST	undefined	/auth
20231219	16:16:41	391f911f-a396-4e36-9595-6ebc6df31409	DELETE	undefined	/employees
20231219	16:17:14	67f7d71c-40b8-40f2-984e-f86863a1bbcd	POST	undefined	/employees
20231219	16:17:54	ba3dab10-9be9-4936-992b-ffeb51a10e40	GET	undefined	/employees/6582085ad6ef045354e39c50
20231219	16:18:01	19ad5191-1d3d-48e7-9d4e-6d0152c90a01	GET	undefined	/employees/6582085ad6ef045354e39c50
20231219	16:18:19	85c511cb-2fdb-43c3-a47e-2083866ac40e	POST	undefined	/employees
20231219	16:18:36	7552b57a-cada-4597-b0b4-ffeede43a298	GET	undefined	/employees/6582089bd6ef045354e39c53
20231221	12:37:05	80f8028a-7356-41cb-aaf0-9562a63c0a77	GET	undefined	/users
20231221	12:37:12	8c4997a6-7830-4047-84a6-f3d15dbc127c	POST	undefined	/auth
20231221	12:37:28	6b4d29bb-df11-4779-9b55-ad52a7fe5434	GET	undefined	/users
20231221	12:38:16	e2d325b7-36b3-4cc6-9df2-ebac61f29219	GET	undefined	/users
